index;especialidade;geografia_trabalho;receita;funcionarios;ev_receita;receita_funcionario
1;strategy;sub;26596107;220;1,73;120891
2;strategy;sub;47515064;460;1,45;103294
3;strategy;sub;51001557;500;1,2;102003
4;strategy;sub;9600852;130;2,2;73853
5;strategy;sub;3044668;60;2,2;50744
6;marketing;des;10480000;30;4;349333
7;marketing;des;9317647;100;1,7;93176
8;marketing;des;26763889;295;1,8;90725
9;analytics;des;37375000;160;4;233594
10;strategy;sub;61666667;1100;1,2;56061
11;strategy;sub;32816500;600;2;54694
12;cloud;sub;17039231;310;2,6;54965
13;strategy;sub;18359268;125;0,77;146874
14;strategy;des;16300000;76;1,72;214474
15;strategy;des;11342701;45;0,95;252060
16;strategy;des;12672222;90;1,8;140802
17;strategy;des;10906890;40;2,3;272672
18;strategy;sub;9694583;337;2,4;28767
19;marketing;des;112200000;1100;1,2;102000
20;cybersecurity;des;13085948;65;3,82;201322
21;marketing;sub;94582717;1000;1,54;94583
22;analytics;des;18315687;125;1,62;146525
23;marketing;sub;35000000;750;1,69;46667
24;strategy;sub;93000000;375;0,56;248000
25;marketing;des;10200000;126;2,69;80952
26;marketing;des;170000000;500;2,79;340000
27;marketing;des;18751499;130;3,36;144242
28;cloud;des;18359268;125;1,69;146874
29;strategy;sub;85866485;900;1,34;95407
30;strategy;sub;24852861;200;1,61;124264
31;design;des;25000000;300;2,27;83333
32;design;sub;204000000;1200;3,84;170000
33;marketing;des;12700000;104;1,45;122115
34;outsourcing;des;298040000;1500;1,23;198693
35;strategy;des;318020000;2180;1,15;145881
36;cybersecurity;des;36540000;122;2,44;299508
37;strategy;des;193220000;1100;1,56;175655
38;outsourcing;des;7320000;42;1,4;174286
39;strategy;sub;4740000;1699;4,96;2790
40;analytics;des;136690000;1020;0,97;134010
41;strategy;des;687000000;5061;2,91;135744
42;strategy;des;3610260000;50124;1,74;72027
43;cloud;des;44170000;171;1,42;258304
44;strategy;sub;1210000;30;1,52;40333
45;strategy;sub;11350000;96;0,94;118229
46;strategy;des;966190000;22114;3,8;43691
47;analytics;sub;42890000;298;1,17;143926
48;analytics;sub;86250000;298;1,16;289430
49;analytics;sub;86250000;298;6,5;289430
50;strategy;des;483940000;4634;0,95;104432
51;automation;des;7000000;20;2,43;350000
52;strategy;sub;97220000;597;1,28;162848
53;strategy;sub;17040000;56;4,01;304286
54;strategy;sub;227010000;1159;1,52;195867
55;analytics;des;108480000;665;1,84;163128
56;analytics;des;139140000;665;1,86;209233
57;analytics;des;145580000;665;8,73;218917
58;analytics;des;417100000;1982;2,34;210444
59;outsourcing;sub;147210000;681;3,21;216167
60;outsourcing;des;3570000;17;0,92;210000
61;strategy;sub;7370000;20;1,86;368500
62;design;sub;19000000;67;1,15;283582
63;strategy;des;31990000;650;1,63;49215
64;strategy;des;8100000;19;1,96;426316
65;cloud;sub;77950000;1043;1,06;74736
66;cloud;sub;127110000;1043;1,05;121870
67;cloud;sub;68200000;1043;2,29;65388
68;strategy;sub;14980000;1000;1,35;14980
69;strategy;des;41410000;73;1,68;567260
70;outsourcing;des;52200000;283;0,99;184452
71;outsourcing;des;476530000;800;3,75;595663
72;outsourcing;des;22630000;200;2,47;113150
73;outsourcing;des;37820000;60;0,94;630333
74;automation;sub;240550000;7090;1,16;33928
75;strategy;des;16430000;100;1;164300
76;outsourcing;sub;17470000;172;0,93;101570
77;outsourcing;sub;19090000;172;1,21;110988
78;outsourcing;sub;19460000;172;2,98;113140
79;strategy;des;75880000;400;1,48;189700
80;cloud;des;9590000;95;1,86;100947
81;cloud;des;58000000;300;1,51;193333
82;strategy;sub;152660000;670;1,78;227851
83;strategy;des;3995370000;19000;1,06;210283
84;strategy;des;5064000000;19000;1,97;266526
85;strategy;des;5064000000;19000;2,06;266526
86;cybersecurity;des;14760000;34;1,5;434118
87;strategy;des;48740000;688;2,41;70843
